time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m
2014-12-04 1000,298.33,46.88,349.18,0.03,46.91,26.38,0.48
2014-12-04 1100,333.37,42.77,401.12,0.04,57.11,26.67,0.48
2014-12-04 1200,532.54,301.56,422.82,0.06,62.85,27.68,0.55
2014-12-04 1300,655.16,678.62,220.44,0.07,61.31,28.76,1.17
2014-12-04 1400,274.66,18.43,348,0.03,53.4,27.19,0.69
2014-12-04 1500,252.69,29.85,307.17,0.03,42.2,27.01,0.69
2014-12-04 1600,21.06,0,40.98,0,29.52,25.63,1.1
2014-12-04 1700,7.13,0,19.99,0,16.14,24.68,0.76
2014-12-04 1800,0.81,0,7.99,0,2.43,24.44,1.1
2014-12-04 1900,0,0,0,0,0,24.03,0.76
2014-12-04 2000,0,0,0,0,0,23.8,0.83
2014-12-04 2100,0,0,0,0,0,23.51,0.9
2014-12-04 2200,0,0,0,0,0,22.95,0.62
2014-12-04 2300,0,0,0,0,0,22.86,0.48
2014-12-05 0000,0,0,0,0,0,22.9,0.28
2014-12-05 0100,0,0,0,0,0,22.61,0.21
2014-12-05 0200,0,0,0,0,0,22.69,0.34
2014-12-05 0300,0,0,0,0,0,22.56,0.14
2014-12-05 0400,0,0,0,0,0,22.39,0.21
2014-12-05 0500,0,0,0,0,0,22.19,0.14
2014-12-05 0600,0,0,0,0,0,22.12,0
2014-12-05 0700,6.62,0,18.99,0,7.82,22.35,0.14
2014-12-05 0800,21.31,0,40.97,0,21.41,23.14,0.14
2014-12-05 0900,111.07,0,155.94,0.01,34.55,24.23,0.21
2014-12-05 1000,286.53,37.71,341.12,0.03,46.76,24.98,0.28
2014-12-05 1100,577.28,475.59,307.24,0.06,56.95,25.99,0.41
2014-12-05 1200,598.25,471.75,346.42,0.06,62.7,26.69,0.48
2014-12-05 1300,470.24,188.81,446.28,0.05,61.22,27.13,0.34
2014-12-05 1400,203.11,1.02,275.9,0.02,53.38,28.92,0.41
2014-12-05 1500,356.26,144.14,330.37,0.04,42.21,27.45,0.41
2014-12-05 1600,74.6,0,110.96,0.01,29.56,25.25,0.07
2014-12-05 1700,44.36,0,71.97,0.01,16.21,24.33,0.41
2014-12-05 1800,0.06,0,6,0,2.51,23.42,0.55
2014-12-05 1900,0,0,0,0,0,23.04,0.41
2014-12-05 2000,0,0,0,0,0,23.13,0.28
2014-12-05 2100,0,0,0,0,0,22.73,0.41
2014-12-05 2200,0,0,0,0,0,22.54,0.48
2014-12-05 2300,0,0,0,0,0,22.74,0.21
2014-12-06 0000,0,0,0,0,0,22.64,0.21
2014-12-06 0100,0,0,0,0,0,21.82,0.48
2014-12-06 0200,0,0,0,0,0,21.84,0.55
2014-12-06 0300,0,0,0,0,0,21.9,0.28
2014-12-06 0400,0,0,0,0,0,21.76,0.62
2014-12-06 0500,0,0,0,0,0,21.52,0.69
2014-12-06 0600,0,0,0,0,0,21.39,0.76
2014-12-06 0700,6.64,0,18.99,0,7.7,21.9,0.69
2014-12-06 0800,12.35,0,27.98,0,21.29,22.55,0.83
2014-12-06 0900,115.38,0,160.94,0.01,34.41,24.08,0.62
2014-12-06 1000,198.03,3.06,262.91,0.02,46.61,25.34,0.28
2014-12-06 1100,359.5,65.18,415.28,0.04,56.79,26.81,0.28
2014-12-06 1200,370.4,58.08,437.23,0.04,62.57,27.29,0.55
2014-12-06 1300,528.48,303.14,414.01,0.06,61.14,27.7,0.62
2014-12-06 1400,385.91,105.46,406.77,0.04,53.36,26.36,0.62
2014-12-06 1500,494.15,452.02,198.72,0.05,42.23,25,0.76
2014-12-06 1600,250.19,95.79,234.22,0.03,29.61,25.05,1.03
2014-12-06 1700,51.28,1.07,79.98,0.01,16.27,24.77,1.1
2014-12-06 1800,2.66,0,11.99,0,2.59,24.39,1.1
2014-12-06 1900,0,0,0,0,0,23.9,0.97
2014-12-06 2000,0,0,0,0,0,23.28,0.9
2014-12-06 2100,0,0,0,0,0,22.86,0.76
2014-12-06 2200,0,0,0,0,0,22.67,0.62
2014-12-06 2300,0,0,0,0,0,22.55,0.55
2014-12-07 0000,0,0,0,0,0,22.11,0.69
2014-12-07 0100,0,0,0,0,0,21.85,0.69
2014-12-07 0200,0,0,0,0,0,21.96,0.69
2014-12-07 0300,0,0,0,0,0,21.93,0.69
2014-12-07 0400,0,0,0,0,0,21.94,0.76
2014-12-07 0500,0,0,0,0,0,21.86,0.9
2014-12-07 0600,0,0,0,0,0,21.52,0.97
2014-12-07 0700,57.53,0,87.94,0.01,7.59,22.15,1.24
2014-12-07 0800,110.31,0,153.89,0.01,21.16,23.42,1.31
2014-12-07 0900,381.6,288.42,207.67,0.04,34.28,25.04,1.52
2014-12-07 1000,494.41,372.12,278.94,0.05,46.47,26.33,1.38
2014-12-07 1100,631.24,645.8,207.09,0.07,56.64,27.3,1.24
2014-12-07 1200,666.36,701.14,214.26,0.07,62.43,28.27,1.1
2014-12-07 1300,664.28,745.16,178.2,0.07,61.07,29.09,0.76
2014-12-07 1400,410.02,132.09,408.01,0.04,53.34,26.89,1.59
2014-12-07 1500,40.51,0,66.97,0.01,42.26,24.75,1.66
2014-12-07 1600,43.58,0,70.97,0.01,29.66,24.57,0.97
2014-12-07 1700,129.95,64.38,121.3,0.01,16.34,24.13,0.62
2014-12-07 1800,2.67,0,11.99,0,2.67,23.68,0.69
2014-12-07 1900,0,0,0,0,0,22.91,0.76
2014-12-07 2000,0,0,0,0,0,22.41,0.69
2014-12-07 2100,0,0,0,0,0,21.96,0.83
2014-12-07 2200,0,0,0,0,0,21.78,0.76
2014-12-07 2300,0,0,0,0,0,21.24,0.55
2014-12-08 0000,0,0,0,0,0,20.99,0.69
2014-12-08 0100,0,0,0,0,0,20.92,0.83
2014-12-08 0200,0,0,0,0,0,21.1,0.48
2014-12-08 0300,0,0,0,0,0,20.91,0.69
2014-12-08 0400,0,0,0,0,0,20.86,0.76
2014-12-08 0500,0,0,0,0,0,20.65,0.55
2014-12-08 0600,0,0,0,0,0,20.71,0.48
2014-12-08 0700,63.26,0,94.93,0.01,7.48,21.33,0.41
2014-12-08 0800,15.7,0,32.98,0,21.04,23.06,0.9
2014-12-08 0900,50.62,0,79.97,0.01,34.15,24.3,0.9
2014-12-08 1000,369.89,122.36,362.75,0.04,46.32,25.46,1.03
2014-12-08 1100,509.97,283.2,393.69,0.05,56.49,26.24,1.24
2014-12-08 1200,333.87,32.61,410.05,0.04,62.31,26.94,1.1
2014-12-08 1300,385.14,73.5,438.39,0.04,61,27.48,1.17
2014-12-08 1400,194.75,1.02,261.9,0.02,53.34,27.09,0.97
2014-12-08 1500,327.17,99.89,334.93,0.03,42.29,26.96,0.41
2014-12-08 1600,349.86,309.29,151.63,0.04,29.71,26.05,1.1
2014-12-08 1700,95.97,20.38,118.37,0.01,16.41,24.06,1.1
2014-12-08 1800,2.68,0,11.99,0,2.76,23.43,0.69
2014-12-08 1900,0,0,0,0,0,23.27,0.62
2014-12-08 2000,0,0,0,0,0,22.65,0.76
2014-12-08 2100,0,0,0,0,0,22.41,0.9
2014-12-08 2200,0,0,0,0,0,21.97,0.83
2014-12-08 2300,0,0,0,0,0,21.63,0.69
2014-12-09 0000,0,0,0,0,0,21.26,0.83
2014-12-09 0100,0,0,0,0,0,21.06,0.76
2014-12-09 0200,0,0,0,0,0,21.41,0.69
2014-12-09 0300,0,0,0,0,0,21.18,0.76
2014-12-09 0400,0,0,0,0,0,20.89,0.69
2014-12-09 0500,0,0,0,0,0,20.99,0.62
2014-12-09 0600,0,0,0,0,0,20.76,0.69
2014-12-09 0700,76.15,0,110.92,0.01,7.37,21.5,0.76
2014-12-09 0800,114.39,0,158.89,0.01,20.92,22.9,0.62
2014-12-09 0900,323.39,164.72,258.18,0.03,34.02,24.64,0.83
2014-12-09 1000,522.69,468.07,225.01,0.05,46.19,25.93,0.9
2014-12-09 1100,482.06,232.29,409.43,0.05,56.35,26.66,1.03
2014-12-09 1200,656.25,646.21,246.42,0.07,62.19,27.3,1.24
2014-12-09 1300,677.69,744.26,178.21,0.07,60.94,27.83,1.45
2014-12-09 1400,649.89,767.06,105.68,0.07,53.33,27.63,1.66
2014-12-09 1500,535.96,591.15,116.08,0.05,42.32,27.96,1.86
2014-12-09 1600,376.1,392.62,104.29,0.04,29.77,27.45,1.59
2014-12-09 1700,165.85,145.9,94.28,0.02,16.49,26.46,1.17
2014-12-09 1800,3.14,0,12.99,0,2.85,25.72,1.1
2014-12-09 1900,0,0,0,0,0,24.57,0.83
2014-12-09 2000,0,0,0,0,0,24.3,0.55
2014-12-09 2100,0,0,0,0,0,23.91,0.55
2014-12-09 2200,0,0,0,0,0,23.65,0.55
2014-12-09 2300,0,0,0,0,0,22.56,0.76
2014-12-10 0000,0,0,0,0,0,21.77,0.9
2014-12-10 0100,0,0,0,0,0,21.07,1.03
2014-12-10 0200,0,0,0,0,0,20.55,1.1
2014-12-10 0300,0,0,0,0,0,20.45,0.97
2014-12-10 0400,0,0,0,0,0,20.21,0.97
2014-12-10 0500,0,0,0,0,0,19.91,1.03
2014-12-10 0600,0,0,0,0,0,19.81,0.9
2014-12-10 0700,43.6,0,69.95,0.01,7.26,20.79,0.55
2014-12-10 0800,116.91,0,161.89,0.01,20.8,22.81,0.69
2014-12-10 0900,345.64,211.82,239.44,0.04,33.89,23.98,0.62
2014-12-10 1000,510.88,429.37,246.03,0.05,46.05,25.32,0.83
2014-12-10 1100,617.98,605.23,229.21,0.07,56.21,26.75,1.03
2014-12-10 1200,643.52,607.53,268.49,0.07,62.08,27.5,1.17
2014-12-10 1300,431.76,127.62,449.83,0.05,60.89,28.12,1.1
2014-12-10 1400,326.61,48.14,386.25,0.03,53.33,27.74,1.03
2014-12-10 1500,215.92,12.36,278,0.02,42.36,27.38,0.76
2014-12-10 1600,237.34,79.15,238,0.02,29.83,27.09,0.83
2014-12-10 1700,126.56,57.92,124.17,0.01,16.57,26.1,0.69
2014-12-10 1800,4.22,0,14.99,0,2.94,25.36,0.83
2014-12-10 1900,0,0,0,0,0,24.4,0.76
2014-12-10 2000,0,0,0,0,0,23.77,0.55
2014-12-10 2100,0,0,0,0,0,23.27,0.83
2014-12-10 2200,0,0,0,0,0,22.79,1.03
2014-12-10 2300,0,0,0,0,0,22.38,0.97
2014-12-11 0000,0,0,0,0,0,22.11,1.03
2014-12-11 0100,0,0,0,0,0,21.76,1.03
2014-12-11 0200,0,0,0,0,0,21.42,0.83
2014-12-11 0300,0,0,0,0,0,21.13,0.76
2014-12-11 0400,0,0,0,0,0,20.86,0.76
2014-12-11 0500,0,0,0,0,0,20.63,0.69
2014-12-11 0600,0,0,0,0,0,20.37,0.69
2014-12-11 0700,23.74,0,43.97,0,7.14,21.16,0.48
2014-12-11 0800,99.65,0,140.9,0.01,20.68,23.25,0.69
2014-12-11 0900,348.15,221.07,234.49,0.04,33.76,24.87,0.83
2014-12-11 1000,554.46,576.3,158.78,0.06,45.92,25.85,1.03
2014-12-11 1100,671.24,811.12,98.27,0.07,56.08,26.96,1.24
2014-12-11 1200,704.39,826.74,132.68,0.08,61.97,27.45,1.52
2014-12-11 1300,591.3,451.31,346.61,0.06,60.84,28.11,1.45
2014-12-11 1400,491.06,284.74,372.17,0.05,53.34,28.13,1.17
2014-12-11 1500,127.73,0,177.93,0.01,42.41,26.48,0.97
2014-12-11 1600,315.17,213.5,201.4,0.03,29.9,26.38,1.38
2014-12-11 1700,7.69,0,20.99,0,16.65,25.75,1.1
2014-12-11 1800,4.22,0,14.99,0,3.03,25.15,0.55
2014-12-11 1900,0,0,0,0,0,24.8,0.21
2014-12-11 2000,0,0,0,0,0,24.46,0.28
2014-12-11 2100,0,0,0,0,0,24.15,0.21
2014-12-11 2200,0,0,0,0,0,23.78,0.14
2014-12-11 2300,0,0,0,0,0,23.49,0.28
2014-12-12 0000,0,0,0,0,0,23.17,0.48
2014-12-12 0100,0,0,0,0,0,22.41,0.62
2014-12-12 0200,0,0,0,0,0,21.05,0.83
2014-12-12 0300,0,0,0,0,0,20.54,0.9
2014-12-12 0400,0,0,0,0,0,20.13,0.97
2014-12-12 0500,0,0,0,0,0,19.76,0.97
2014-12-12 0600,0,0,0,0,0,19.75,0.9
2014-12-12 0700,73.22,0,106.92,0.01,7.03,20.57,0.55
2014-12-12 0800,108.55,0,151.89,0.01,20.56,23.15,0.55
2014-12-12 0900,397.72,354.17,165.73,0.04,33.64,24.88,0.97
2014-12-12 1000,540.15,532.49,183.91,0.06,45.79,26.4,1.1
2014-12-12 1100,668.23,810.16,98.28,0.07,55.96,27.66,1.24
2014-12-12 1200,696.16,811.5,141.77,0.07,61.87,28.35,1.45
2014-12-12 1300,689.76,815.87,131.81,0.07,60.8,28.69,1.31
2014-12-12 1400,603.7,602.28,210.65,0.06,53.36,28.3,1.45
2014-12-12 1500,454.52,338.88,262.7,0.05,42.45,28.38,1.52
2014-12-12 1600,345.41,294.74,162.68,0.04,29.97,27.32,1.17
2014-12-12 1700,163.58,136.19,100.22,0.02,16.73,26.62,0.76
2014-12-12 1800,4.22,0,14.99,0,3.12,25.35,0.48
2014-12-12 1900,0,0,0,0,0,24.62,0.41
2014-12-12 2000,0,0,0,0,0,24,0.48
2014-12-12 2100,0,0,0,0,0,23.36,0.76
2014-12-12 2200,0,0,0,0,0,23.19,0.69
2014-12-12 2300,0,0,0,0,0,22.77,0.83
2014-12-13 0000,0,0,0,0,0,22.35,0.9
2014-12-13 0100,0,0,0,0,0,21.77,0.97
2014-12-13 0200,0,0,0,0,0,21.5,0.83
2014-12-13 0300,0,0,0,0,0,21.25,0.83
2014-12-13 0400,0,0,0,0,0,20.97,0.83
2014-12-13 0500,0,0,0,0,0,20.7,0.83
2014-12-13 0600,0,0,0,0,0,20.29,0.83
2014-12-13 0700,67.42,0,99.93,0.01,6.92,20.97,0.55
2014-12-13 0800,73.72,0,108.92,0.01,20.44,23.65,0.69
2014-12-13 0900,421.53,425.89,122.55,0.04,33.51,25.29,1.66
2014-12-13 1000,556.66,573.35,157.78,0.06,45.66,26.48,1.86
2014-12-13 1100,654.48,742.95,140.69,0.07,55.84,27.25,1.38
2014-12-13 1200,687.17,796.25,150.86,0.07,61.78,27.79,0.97
2014-12-13 1300,608.95,539.17,299.72,0.07,60.77,28.45,0.62
2014-12-13 1400,598.84,614.59,203.62,0.06,53.38,28.33,0.69
2014-12-13 1500,441.72,317.26,273.63,0.05,42.51,28.62,0.76
2014-12-13 1600,330.52,256.2,182.6,0.03,30.04,27.73,1.1
2014-12-13 1700,113.93,36.45,127.73,0.01,16.81,26.77,1.31
2014-12-13 1800,4.76,0,15.99,0,3.21,25.85,0.9
2014-12-13 1900,0,0,0,0,0,25.1,0.76
2014-12-13 2000,0,0,0,0,0,24.47,0.97
2014-12-13 2100,0,0,0,0,0,23.71,0.97
2014-12-13 2200,0,0,0,0,0,23.1,0.97
2014-12-13 2300,0,0,0,0,0,22.68,1.03
2014-12-14 0000,0,0,0,0,0,22.71,0.97
2014-12-14 0100,0,0,0,0,0,22.29,0.9
2014-12-14 0200,0,0,0,0,0,22.13,0.9
2014-12-14 0300,0,0,0,0,0,22.19,0.9
2014-12-14 0400,0,0,0,0,0,22.16,0.97
2014-12-14 0500,0,0,0,0,0,22.26,0.76
2014-12-14 0600,0,0,0,0,0,22.39,0.48
2014-12-14 0700,65.22,0,97.93,0.01,6.81,22.74,0.48
2014-12-14 0800,108.28,0,151.89,0.01,20.33,23.54,0.41
2014-12-14 0900,298.14,129.01,261.96,0.03,33.39,24.1,0.41
2014-12-14 1000,507.79,442.8,234.05,0.05,45.54,25.08,0.28
2014-12-14 1100,622.36,650.25,199.1,0.07,55.72,26.06,0.41
2014-12-14 1200,617.66,533.24,309.55,0.07,61.7,26.97,0.76
2014-12-14 1300,492.67,220.58,438.55,0.05,60.74,26.69,0.9
2014-12-14 1400,211.66,2.05,279.9,0.02,53.4,26.2,1.86
2014-12-14 1500,374.86,155.54,331.5,0.04,42.56,25.32,1.79
2014-12-14 1600,346.85,285.36,168.67,0.04,30.11,25.55,1.45
2014-12-14 1700,140.39,75.03,124.49,0.02,16.9,25.15,1.17
2014-12-14 1800,3.19,0,12.99,0,3.31,23.81,1.1
2014-12-14 1900,0,0,0,0,0,23.35,0.97
2014-12-14 2000,0,0,0,0,0,23.13,0.97
2014-12-14 2100,0,0,0,0,0,23,0.9
2014-12-14 2200,0,0,0,0,0,22.74,0.9
2014-12-14 2300,0,0,0,0,0,22.54,0.83
2014-12-15 0000,0,0,0,0,0,21.99,0.83
2014-12-15 0100,0,0,0,0,0,21.88,0.76
2014-12-15 0200,0,0,0,0,0,21.67,0.97
2014-12-15 0300,0,0,0,0,0,21.51,1.03
2014-12-15 0400,0,0,0,0,0,21.33,1.03
2014-12-15 0500,0,0,0,0,0,21.27,0.9
2014-12-15 0600,0,0,0,0,0,21.34,1.03
2014-12-15 0700,5.47,0,16.99,0,6.7,21.57,1.03
2014-12-15 0800,11.7,0,26.98,0,20.21,22.28,1.1
2014-12-15 0900,25.75,0,46.98,0,33.27,22.87,1.17
2014-12-15 1000,39.11,0,64.97,0.01,45.42,23.97,1.17
2014-12-15 1100,48.22,0,76.97,0.01,55.61,24.73,1.45
2014-12-15 1200,68.26,0,102.96,0.01,61.62,26.13,1.79
2014-12-15 1300,69.76,0,104.96,0.01,60.73,26.4,1.93
2014-12-15 1400,112.46,0,156.94,0.01,53.43,23.72,0.9
2014-12-15 1500,192.29,4.12,251.93,0.02,42.62,23.73,0.69
2014-12-15 1600,73.58,0,108.96,0.01,30.19,23.94,0.41
2014-12-15 1700,34.55,0,58.98,0,16.99,23.73,0.48
2014-12-15 1800,2.68,0,11.99,0,3.41,23.47,0.62
2014-12-15 1900,0,0,0,0,0,23.33,0.62
2014-12-15 2000,0,0,0,0,0,23.1,0.62
2014-12-15 2100,0,0,0,0,0,23.17,0.34
2014-12-15 2200,0,0,0,0,0,23.2,0.34
2014-12-15 2300,0,0,0,0,0,22.88,0.55
2014-12-16 0000,0,0,0,0,0,22.54,0.62
2014-12-16 0100,0,0,0,0,0,22.36,0.69
2014-12-16 0200,0,0,0,0,0,22.32,0.9
2014-12-16 0300,0,0,0,0,0,22.32,0.97
2014-12-16 0400,0,0,0,0,0,22.55,0.69
2014-12-16 0500,0,0,0,0,0,22.4,0.76
2014-12-16 0600,0,0,0,0,0,22.21,0.76
2014-12-16 0700,5.44,0,16.99,0,6.58,22.44,0.76
2014-12-16 0800,14.32,0,30.98,0,20.1,23.2,0.9
2014-12-16 0900,49.32,0,77.97,0.01,33.16,23.23,0.83
2014-12-16 1000,123.94,0,170.93,0.01,45.31,23.32,0.69
2014-12-16 1100,157.14,0,211.91,0.02,55.51,23.13,0.55
2014-12-16 1200,287.69,12.24,366.93,0.03,61.55,24.67,0.69
2014-12-16 1300,77.7,0,113.95,0.01,60.71,23.69,0.55
2014-12-16 1400,74.22,0,108.96,0.01,53.47,22.73,1.45
2014-12-16 1500,59.79,0,90.96,0.01,42.69,22.54,0.97
2014-12-16 1600,83.01,0,119.95,0.01,30.27,22.61,0.76
2014-12-16 1700,15.08,0,31.99,0,17.08,22.35,1.03
2014-12-16 1800,0,0,2,0,3.51,22.23,0.97
2014-12-16 1900,0,0,0,0,0,21.97,0.97
2014-12-16 2000,0,0,0,0,0,21.82,0.83
2014-12-16 2100,0,0,0,0,0,21.75,0.9
2014-12-16 2200,0,0,0,0,0,21.72,0.9
2014-12-16 2300,0,0,0,0,0,21.61,0.9
2014-12-17 0000,0,0,0,0,0,21.52,0.83
2014-12-17 0100,0,0,0,0,0,21.45,0.9
2014-12-17 0200,0,0,0,0,0,21.65,1.1
2014-12-17 0300,0,0,0,0,0,21.75,0.69
2014-12-17 0400,0,0,0,0,0,21.86,0.62
2014-12-17 0500,0,0,0,0,0,22,0.62
2014-12-17 0600,0,0,0,0,0,21.93,0.69
2014-12-17 0700,13.72,0,29.98,0,6.47,22.19,0.69
2014-12-17 0800,13.69,0,29.98,0,19.98,22.61,0.62
2014-12-17 0900,46.2,0,73.97,0.01,33.04,23.16,0.55
2014-12-17 1000,79.25,0,115.95,0.01,45.19,23.92,0.69
2014-12-17 1100,120.33,0,166.93,0.01,55.41,24.06,0.83
2014-12-17 1200,128.95,0,177.93,0.01,61.49,24.53,0.9
2014-12-17 1300,172.43,0,231.91,0.02,60.71,24.45,0.9
2014-12-17 1400,213.39,2.05,280.9,0.02,53.51,23.67,0.48
2014-12-17 1500,46.83,0,74.97,0.01,42.76,23.75,0.48
2014-12-17 1600,113.54,1.04,156.95,0.01,30.36,23.19,0.69
2014-12-17 1700,32.44,0,55.98,0,17.18,22.9,0.62
2014-12-17 1800,2.2,0,10.99,0,3.61,22.34,0.69
2014-12-17 1900,0,0,0,0,0,22.22,0.34
2014-12-17 2000,0,0,0,0,0,22.29,0.41
2014-12-17 2100,0,0,0,0,0,22.09,0.41
2014-12-17 2200,0,0,0,0,0,22.19,0.21
2014-12-17 2300,0,0,0,0,0,22.25,0.28
2014-12-18 0000,0,0,0,0,0,22.13,0.41
2014-12-18 0100,0,0,0,0,0,22.15,0.48
2014-12-18 0200,0,0,0,0,0,21.89,0.41
2014-12-18 0300,0,0,0,0,0,21.73,0.28
2014-12-18 0400,0,0,0,0,0,21.79,0.28
2014-12-18 0500,0,0,0,0,0,21.71,0.48
2014-12-18 0600,0,0,0,0,0,21.69,0.41
2014-12-18 0700,34.1,0,57.96,0,6.36,21.95,0.55
2014-12-18 0800,11.05,0,25.98,0,19.87,22.19,0.62
2014-12-18 0900,25.81,0,46.98,0,32.93,22.35,0.69
2014-12-18 1000,38.48,0,63.97,0.01,45.09,23.18,0.69
2014-12-18 1100,95.76,0,135.95,0.01,55.32,23.01,0.69
2014-12-18 1200,53.26,0,82.97,0.01,61.43,23.2,0.83
2014-12-18 1300,70.67,0,104.96,0.01,60.71,23.44,0.97
2014-12-18 1400,61.74,0,93.96,0.01,53.56,24.08,1.31
2014-12-18 1500,57.2,0,87.96,0.01,42.83,23.14,0.69
2014-12-18 1600,25.64,0,46.98,0,30.45,23.61,0.9
2014-12-18 1700,19.15,0,37.98,0,17.27,23.62,0.97
2014-12-18 1800,0.82,0,7.99,0,3.71,23.24,0.9
2014-12-18 1900,0,0,0,0,0,23.1,0.97
2014-12-18 2000,0,0,0,0,0,22.81,1.1
2014-12-18 2100,0,0,0,0,0,22.69,1.03
2014-12-18 2200,0,0,0,0,0,22.48,0.97
2014-12-18 2300,0,0,0,0,0,22.38,0.9
2014-12-19 0000,0,0,0,0,0,22.33,1.1
2014-12-19 0100,0,0,0,0,0,22.15,1.17
2014-12-19 0200,0,0,0,0,0,21.88,1.03
2014-12-19 0300,0,0,0,0,0,21.88,0.97
2014-12-19 0400,0,0,0,0,0,21.89,0.9
2014-12-19 0500,0,0,0,0,0,21.82,0.9
2014-12-19 0600,0,0,0,0,0,21.87,0.9
2014-12-19 0700,4.88,0,15.99,0,6.25,21.99,0.97
2014-12-19 0800,53.49,0,82.94,0.01,19.76,22.36,1.03
2014-12-19 0900,119.52,0,164.93,0.01,32.82,23.24,1.66
2014-12-19 1000,325.14,71.44,350.4,0.03,44.98,24.03,1.59
2014-12-19 1100,488.95,235.48,402.49,0.05,55.23,24.68,1.79
2014-12-19 1200,468.38,160.1,452.02,0.05,61.38,25.47,2.14
2014-12-19 1300,329.16,29.62,401.05,0.03,60.72,25.82,2.07
2014-12-19 1400,63.26,0,96.96,0.01,53.62,27,2
2014-12-19 1500,295.17,57.68,330.47,0.03,42.91,26.96,1.93
2014-12-19 1600,215.83,46.85,238.54,0.02,30.54,24.9,1.59
2014-12-19 1700,107.02,24.62,127.45,0.01,17.37,23.57,1.38
2014-12-19 1800,6.01,0,17.99,0,3.81,22.88,1.24
2014-12-19 1900,0,0,0,0,0,22.63,1.03
2014-12-19 2000,0,0,0,0,0,22.65,0.83
2014-12-19 2100,0,0,0,0,0,22.56,0.83
2014-12-19 2200,0,0,0,0,0,22.36,0.69
2014-12-19 2300,0,0,0,0,0,22.03,0.55
2014-12-20 0000,0,0,0,0,0,21.87,0.62
2014-12-20 0100,0,0,0,0,0,21.77,0.76
2014-12-20 0200,0,0,0,0,0,21.73,0.9
2014-12-20 0300,0,0,0,0,0,21.76,0.9
2014-12-20 0400,0,0,0,0,0,21.75,0.83
2014-12-20 0500,0,0,0,0,0,21.86,0.83
2014-12-20 0600,0,0,0,0,0,21.82,0.69
2014-12-20 0700,4.87,0,15.99,0,6.15,22.18,0.48
2014-12-20 0800,13.7,0,29.98,0,19.65,22.37,0.55
2014-12-20 0900,25.71,0,46.98,0,32.72,23.07,0.69
2014-12-20 1000,101.56,0,142.94,0.01,44.89,22.96,1.03
2014-12-20 1100,275.2,13.25,345.94,0.03,55.15,23.27,1.1
2014-12-20 1200,259.16,5.1,333.89,0.03,61.34,23.35,1.17
2014-12-20 1300,294.68,14.3,371.95,0.03,60.74,24.11,0.97
2014-12-20 1400,206.17,1.02,272.9,0.02,53.68,24.42,1.03
2014-12-20 1500,231.75,15.45,291.02,0.02,42.99,25,1.1
2014-12-20 1600,148.61,7.29,195,0.02,30.63,24.64,0.97
2014-12-20 1700,146.12,74.9,130.47,0.02,17.47,23.97,0.62
2014-12-20 1800,6.57,0,18.99,0,3.92,23.6,0.69
2014-12-20 1900,0,0,0,0,0,23.27,0.48
2014-12-20 2000,0,0,0,0,0,23.03,0.48
2014-12-20 2100,0,0,0,0,0,22.98,0.41
2014-12-20 2200,0,0,0,0,0,22.62,0.41
2014-12-20 2300,0,0,0,0,0,22.55,0.69
2014-12-21 0000,0,0,0,0,0,22.42,0.55
2014-12-21 0100,0,0,0,0,0,22.38,0.48
2014-12-21 0200,0,0,0,0,0,22.16,0.69
2014-12-21 0300,0,0,0,0,0,21.94,0.76
2014-12-21 0400,0,0,0,0,0,21.61,0.69
2014-12-21 0500,0,0,0,0,0,21.62,0.69
2014-12-21 0600,0,0,0,0,0,21.76,0.55
2014-12-21 0700,17.86,0,35.97,0,6.04,22.21,0.48
2014-12-21 0800,82.12,0,118.92,0.01,19.55,22.55,0.41
2014-12-21 0900,45.44,0,72.97,0.01,32.61,23,0.34
2014-12-21 1000,38.23,0,63.97,0.01,44.79,24.35,0.55
2014-12-21 1100,48.46,0,76.97,0.01,55.07,23.57,0.83
2014-12-21 1200,58.72,0,89.96,0.01,61.31,23.51,1.03
2014-12-21 1300,68.43,0,101.96,0.01,60.76,23.04,1.1
2014-12-21 1400,79.96,0,115.95,0.01,53.74,22.06,0.55
2014-12-21 1500,52.79,0,81.97,0.01,43.08,21.9,0.55
2014-12-21 1600,32.6,0,55.98,0,30.73,21.88,0.34
2014-12-21 1700,32.54,0,55.98,0,17.57,22.23,0.41
2014-12-21 1800,0.83,0,7.99,0,4.02,21.98,0.41
2014-12-21 1900,0,0,0,0,0,22.05,0.21
2014-12-21 2000,0,0,0,0,0,22.02,0.28
2014-12-21 2100,0,0,0,0,0,22.13,0.41
2014-12-21 2200,0,0,0,0,0,22.01,0.48
2014-12-21 2300,0,0,0,0,0,22.06,0.55
2014-12-22 0000,0,0,0,0,0,21.95,0.55
2014-12-22 0100,0,0,0,0,0,21.8,0.48
2014-12-22 0200,0,0,0,0,0,21.63,0.34
2014-12-22 0300,0,0,0,0,0,21.76,0.48
2014-12-22 0400,0,0,0,0,0,21.59,0.55
2014-12-22 0500,0,0,0,0,0,21.65,0.62
2014-12-22 0600,0,0,0,0,0,21.57,0.28
2014-12-22 0700,15.81,0,32.98,0,5.93,21.69,0.07
2014-12-22 0800,10.42,0,24.98,0,19.44,21.76,0.21
2014-12-22 0900,25,0,45.98,0,32.51,22.75,0.28
2014-12-22 1000,38.63,0,63.97,0.01,44.7,22.31,0.34
2014-12-22 1100,96.02,0,135.95,0.01,55,22.41,0.62
